M,N,K,KernelVersion,ParallelTime,GFLOPS
10000,10000,32,0,89.64633433333334,71.39165307309479
10000,10000,32,1,7.572,845.2192287374538
10000,10000,32,2,8.343666666666666,767.0488594143263
10000,10000,32,3,4.911666666666666,1303.020020359688
10000,10000,32,4,4.939666666666667,1295.6339833996897
10000,10000,64,0,173.72200033333334,73.68093836957718
10000,10000,64,1,13.65,937.7289377289377
10000,10000,64,2,15.811666666666667,809.5288289237905
10000,10000,64,3,7.730999999999999,1655.6719699909459
10000,10000,64,4,7.820333333333333,1636.7588764332297
10000,10000,128,0,341.94466166666666,74.86591507299302
10000,10000,128,1,26.358333,971.2298573661695
10000,10000,128,2,30.076000333333337,851.1770087868841
10000,10000,128,3,13.460666666666668,1901.837452330246
10000,10000,128,4,13.652000000000001,1875.1831233518894
10000,10000,156,0,415.539337,75.08314429447145
10000,10000,156,1,31.864999666666666,979.1307179154843
10000,10000,156,2,36.70533366666667,850.0127061461303
10000,10000,156,3,16.083999333333335,1939.8160465811175
10000,10000,156,4,16.314333666666666,1912.42870456595
