M,N,K,KernelVersion,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
250,250,250,2,32.71233233333333,2.3953333333333333,0.0,0.9552972157890668,0.07322416845504251
500,500,500,2,0.29866666666666664,15.809,0.0,837.0535714285714,52.931919642857146
750,750,750,2,0.9380000000000001,57.41933333333333,0.0,899.5202558635393,61.21464108031271
1000,1000,1000,2,2.1679999999999997,142.56367,0.0,922.509225092251,65.7581503690037
1250,1250,1250,2,4.241333333333333,272.30832933333335,0.0,920.9957560515561,64.20347280729331
1500,1500,1500,2,7.156,450.56533800000005,0.0,943.2643935159307,62.96329485746228
1750,1750,1750,2,11.311,762.6919963333333,0.0,947.6394660065423,67.4292278607845
2000,2000,2000,2,16.798333333333332,1208.3500163333333,0.0,952.4754439924596,71.93273239408671
2250,2250,2250,2,23.91766733333333,1673.7396646666666,0.0,952.4862806437005,69.9792183468505
2500,2500,2500,2,32.84633233333333,2202.6213380000004,0.0,951.3999822831564,67.05836486239049
2750,2750,2750,2,43.13966633333333,3010.340983,0.0,964.1648518700102,69.78127646467117
3000,3000,3000,2,56.155667666666666,4019.4720866666667,0.0,961.6126429221275,71.57731808168987
3250,3250,3250,2,71.455335,4942.105957,0.0,960.8274875486903,69.16356850051854
3500,3500,3500,2,88.739667,6015.685709666667,0.0,966.3096887663552,67.79026689007823
3750,3750,3750,2,109.90733366666666,7661.824707,0.0,959.6152183972704,69.71167847850104
4000,4000,4000,2,130.97566700000002,9559.188801999999,0.0,977.2807646782206,72.98446361032846
4250,4250,4250,2,158.36849999999998,11080.1440425,0.0,969.455731411234,69.96431766733916
