M,N,K,KernelVersion,ParallelTime,GFLOPS
250,250,250,0,1.2976666666666667,24.081685075777035
250,250,250,1,0.6930000000000001,45.09379509379509
250,250,250,2,0.6483333333333333,48.20051413881748
250,250,250,3,0.9476666666666667,32.97572986282096
250,250,250,4,0.9653333333333333,32.37223756906077
500,500,500,0,3.5063333333333335,71.29955318946666
500,500,500,1,0.27366666666666667,913.5200974421437
500,500,500,2,0.327,764.525993883792
500,500,500,3,0.6916666666666665,361.4457831325302
500,500,500,4,0.694,360.23054755043233
750,750,750,0,11.495333333333335,73.39935046105664
750,750,750,1,0.8473333333333333,995.7710464201416
750,750,750,2,1.03,819.1747572815533
750,750,750,3,1.0410000000000001,810.5187319884724
750,750,750,4,1.0536666666666668,800.7750711800062
1000,1000,1000,0,26.942666333333335,74.23170280387616
1000,1000,1000,1,2.0236666666666667,988.3050568275407
1000,1000,1000,2,2.4783333333333335,806.9939475453933
1000,1000,1000,3,1.3963333333333334,1432.32275005968
1000,1000,1000,4,1.3940000000000001,1434.7202295552365
1250,1250,1250,0,52.50633366666667,74.39578670258325
1250,1250,1250,1,3.988666666666667,979.3372889854587
1250,1250,1250,2,4.883333333333334,799.914675767918
1250,1250,1250,3,3.453333333333333,1131.153474903475
1250,1250,1250,4,3.4770000000000003,1123.4541271210812
1500,1500,1500,0,90.17000066666667,74.85859986796348
1500,1500,1500,1,6.751666666666666,999.7531473710195
1500,1500,1500,2,8.239666666666666,819.2078967595776
1500,1500,1500,3,4.1866666666666665,1612.2611464968154
1500,1500,1500,4,4.186333333333334,1612.3895214587146
1750,1750,1750,0,142.92666633333332,74.99475272865982
1750,1750,1750,1,10.671333333333335,1004.4433685262695
1750,1750,1750,2,12.982666666666667,825.6200575125808
1750,1750,1750,3,7.251666666666666,1478.1084808090095
1750,1750,1750,4,7.244,1479.6728326891218
2000,2000,2000,0,212.87333133333334,75.16206891574396
2000,2000,2000,1,15.941666666666668,1003.659174072138
2000,2000,2000,2,19.43933266666667,823.0735218311163
2000,2000,2000,3,8.16,1960.78431372549
2000,2000,2000,4,8.240333333333334,1941.6690263338858
2250,2250,2250,0,303.56667066666665,75.04529383930654
2250,2250,2250,1,22.638333,1006.3130531740123
2250,2250,2250,2,27.434333,830.391976360424
2250,2250,2250,3,12.588333333333333,1809.711372964385
2250,2250,2250,4,12.598333333333334,1808.274904087842
2500,2500,2500,0,416.160004,75.09131031246336
2500,2500,2500,1,31.098332999999997,1004.8770138257894
2500,2500,2500,2,37.674333,829.4771933984871
2500,2500,2500,3,17.277666999999997,1808.6932685992851
2500,2500,2500,4,17.315332666666666,1804.7588574580855
2750,2750,2750,0,552.2840166666666,75.3122464978089
2750,2750,2750,1,40.973667,1015.1336955025286
2750,2750,2750,2,49.61733266666666,838.2907295607815
2750,2750,2750,3,22.663,1835.315271588051
2750,2750,2750,4,22.781334,1825.7820196130742
3000,3000,3000,0,715.4773356666666,75.47408884683111
3000,3000,3000,1,52.954333,1019.7465805111736
3000,3000,3000,2,64.75699866666666,833.8867012345992
3000,3000,3000,3,24.319333333333333,2220.455604594424
3000,3000,3000,4,24.770000333333332,2180.0564906465283
