M,N,K,ProcessNum,ParallelTime,GFLOPS
10000,10000,32,4,0.151147,42.34288474134452
10000,10000,32,8,0.075559,84.70202093728079
10000,10000,32,12,0.047338,135.19793823144198
10000,10000,32,16,0.03345533333333333,191.29984257617124
10000,10000,32,20,0.027150333333333332,235.7245460460891
10000,10000,64,4,0.3375146666666667,37.924277858542446
10000,10000,64,8,0.18890666666666667,67.75832862789385
10000,10000,64,12,0.09762233333333332,131.11753799506263
10000,10000,64,16,0.06830866666666667,187.38471448230092
10000,10000,64,20,0.055239666666666666,231.71754596636475
10000,10000,128,4,0.76995,33.24891226703033
10000,10000,128,8,0.4339456666666666,58.99356063777571
10000,10000,128,12,0.25980933333333334,98.53379657902975
10000,10000,128,16,0.17508133333333334,146.2177578420696
10000,10000,128,20,0.16581266666666666,154.39109999638148
10000,10000,156,4,0.9485553333333333,32.89212437439953
10000,10000,156,8,0.529827,58.88714618167816
10000,10000,156,12,0.321367,97.08526388832705
10000,10000,156,16,0.26262,118.80283299063285
10000,10000,156,20,0.25212033333333334,123.75043134164771
