M,N,K,ProcessNum,ParallelTime,GFLOPS
250,250,250,4,0.03331866666666666,0.9379126815798953
250,250,250,8,0.018836000000000002,1.6590571246549162
250,250,250,12,0.015833666666666666,1.9736426601545232
250,250,250,16,0.014725,2.122241086587436
250,250,250,20,0.014792666666666668,2.1125332371895986
500,500,500,4,0.15798833333333331,1.5823953245492814
500,500,500,8,0.097501,2.5640762658844527
500,500,500,12,0.07290733333333334,3.4290103418951907
500,500,500,16,0.06555633333333334,3.813514076951629
500,500,500,20,0.048759,5.127258557394533
750,750,750,4,0.5272596666666667,1.6002551557455245
750,750,750,8,0.2972856666666667,2.838179214829283
750,750,750,12,0.20272633333333334,4.162014801563355
750,750,750,16,0.17393499999999998,4.850950067553972
750,750,750,20,0.135303,6.236003636283009
1000,1000,1000,4,1.2544136666666665,1.5943703844638175
1000,1000,1000,8,0.6618443333333333,3.0218586142864416
1000,1000,1000,12,0.4690126666666667,4.264277155272281
1000,1000,1000,16,0.36270600000000003,5.514107844921231
1000,1000,1000,20,0.29444066666666663,6.792539979758232
1250,1250,1250,4,2.3185516666666666,1.6847802255862319
1250,1250,1250,8,1.1961636666666666,3.2656484299389357
1250,1250,1250,12,0.8098936666666666,4.823164028528849
1250,1250,1250,16,0.6604556666666667,5.914477227086149
1250,1250,1250,20,0.5520740000000001,7.075591315656959
1500,1500,1500,4,4.190997,1.6105952831748627
1500,1500,1500,8,2.230195333333333,3.026640715775868
1500,1500,1500,12,1.6217486666666667,4.1621739167968075
1500,1500,1500,16,1.3035696666666665,5.178089190476715
1500,1500,1500,20,1.0279573333333334,6.566420396177273
1750,1750,1750,4,6.405673333333333,1.6733213578380002
1750,1750,1750,8,3.4995030000000003,3.0629349367610197
1750,1750,1750,12,2.488676,4.307009028093654
1750,1750,1750,16,1.9614216666666666,5.464786171255033
1750,1750,1750,20,1.6210993333333334,6.612025419787149
2000,2000,2000,4,9.562982666666667,1.673118163830894
2000,2000,2000,8,5.077161333333334,3.1513672600778753
2000,2000,2000,12,3.4906653333333337,4.583653393297705
2000,2000,2000,16,2.7189083333333333,5.884714759906704
2000,2000,2000,20,2.3141993333333333,6.9138383066396765
2250,2250,2250,4,13.913552000000001,1.6373424988816658
2250,2250,2250,8,7.16467,3.1796649392086445
2250,2250,2250,12,4.950778333333333,4.601549184017194
2250,2250,2250,16,3.8426003333333334,5.92860251491156
2250,2250,2250,20,3.217991,7.079339252347194
2500,2500,2500,4,18.383608666666667,1.6998838784391008
2500,2500,2500,8,9.468814333333333,3.3003076097912016
2500,2500,2500,12,6.477864,4.824121037428387
2500,2500,2500,16,5.012270666666667,6.234699216828674
2500,2500,2500,20,4.355937999999999,7.174114966741953
2750,2750,2750,4,25.236808666666665,1.648138263018095
2750,2750,2750,8,13.328880333333332,3.1205734435157986
2750,2750,2750,12,9.202945666666666,4.519612687778193
2750,2750,2750,16,7.409560666666667,5.6135244545763
2750,2750,2750,20,5.980530333333333,6.954859800337663
3000,3000,3000,4,31.990509666666668,1.6880006152658047
3000,3000,3000,8,16.888328333333334,3.197474547757194
3000,3000,3000,12,11.646784000000002,4.636473038394118
3000,3000,3000,16,9.237258666666667,5.845890209274208
3000,3000,3000,20,7.690135000000001,7.0219833591998055
3250,3250,3250,4,41.06900366666667,1.6717291356090118
3250,3250,3250,8,21.47860266666667,3.196495184789178
3250,3250,3250,12,14.571325666666667,4.711736706088307
3250,3250,3250,16,11.301781,6.074816880631469
3250,3250,3250,20,9.742740333333332,7.046913666076359
3500,3500,3500,4,51.579794,1.662472711697918
3500,3500,3500,8,26.29386,3.2612176378820004
3500,3500,3500,12,18.176757,4.717563204481416
3500,3500,3500,16,14.085784666666667,6.087697776817735
3500,3500,3500,20,11.958452333333334,7.170660350501878
3750,3750,3750,8,31.926644,3.303471232366296
3750,3750,3750,12,21.87638533333333,4.821123251988796
3750,3750,3750,16,17.298026,6.097155247656582
3750,3750,3750,20,14.609564999999998,7.2191574492464365
4000,4000,4000,8,40.111277,3.19112253643782
4000,4000,4000,12,27.512855666666667,4.652370569990632
4000,4000,4000,16,21.419005666666667,5.976001033474679
4000,4000,4000,20,18.035907333333334,7.096953739800763
4250,4250,4250,8,47.28975499999999,3.2466070082198573
4250,4250,4250,12,32.835786000000006,4.675729400843336
4250,4250,4250,16,25.933879,5.920103583424601
4250,4250,4250,20,21.612557666666664,7.103798280977791
4500,4500,4500,8,55.424898000000006,3.28823338565278
4500,4500,4500,12,37.824361,4.818323302276012
4500,4500,4500,16,30.22327866666667,6.030120094184354
4500,4500,4500,20,25.519437666666665,7.14161504577563
4750,4750,4750,8,64.48957966666667,3.3236958762624695
4750,4750,4750,12,44.578589,4.808221947087648
4750,4750,4750,16,34.97224166666667,6.128967998190946
4750,4750,4750,20,29.735400666666667,7.208369323917635
5000,5000,5000,8,74.05472850000001,3.375881662978482
5000,5000,5000,12,51.52621366666667,4.851899299593402
5000,5000,5000,16,40.481786,6.1756168564301985
5000,5000,5000,20,34.47805833333334,7.250988370139753
5250,5250,5250,12,60.73327766666667,4.765200580617437
5250,5250,5250,16,48.69788133333333,5.942892012468387
5250,5250,5250,20,40.636944,7.121752314839424
5500,5500,5500,12,69.512161,4.786932174357232
5500,5500,5500,16,55.58685866666667,5.986127080779572
5750,5750,5750,12,78.618884,4.836226751832296
5750,5750,5750,16,61.996005,6.132955663836727
