,M,N,K,ProcessNum,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
0,100,100,100,12,0.011514333333333333,-1.0,-1.0,0.17369655212344037,-86.84827606172017
1,200,200,200,12,0.022002999999999998,-1.0,-1.0,0.7271735672408309,-45.44834795255193
2,300,300,300,12,0.03382966666666667,-1.0,-1.0,1.596232103971859,-29.55985377725665
3,400,400,400,12,0.08949333333333333,-1.0,-1.0,1.4302741358760431,-11.174016686531585
4,500,500,500,12,0.223249,-1.0,-1.0,1.1198258446846348,-4.479303378738538
5,600,600,600,12,0.26965916666666667,-1.0,-1.0,1.6020223059355791,-3.7083849674434703
6,700,700,700,12,0.48185933333333336,-1.0,-1.0,1.4236519924902011,-2.0752944496941708
7,800,800,800,12,0.6087003333333333,-1.0,-1.0,1.6822727768069785,-1.642844508600565
8,900,900,900,12,0.9934220000000001,-1.0,-1.0,1.4676542295217943,-1.0066215565993102
9,1000,1000,1000,12,1.4990503333333332,-1.0,-1.0,1.3341780162596277,-0.6670890081298139
10,1100,1100,1100,12,1.8505116666666668,-1.0,-1.0,1.4385210576894498,-0.5403910810253381
11,1200,1200,1200,12,1.7288526666666666,-1.0,-1.0,1.9990136040125264,-0.578418288198069
12,1300,1300,1300,12,3.238163,-1.0,-1.0,1.3569421922244187,-0.3088170669604958
13,1400,1400,1400,12,3.7375876666666663,-1.0,-1.0,1.468326762993207,-0.2675522527319984
14,1500,1500,1500,12,4.367405000000001,-1.0,-1.0,1.5455402006454633,-0.2289689186141427
15,1600,1600,1600,12,5.112073666666666,-1.0,-1.0,1.6024808197534453,-0.19561533444255924
16,1700,1700,1700,12,7.470409666666666,-1.0,-1.0,1.3153227785946056,-0.1338614673920828
17,1800,1800,1800,12,7.620852666666667,-1.0,-1.0,1.5305373965590379,-0.1312189125993688
18,1900,1900,1900,12,10.700875666666667,-1.0,-1.0,1.2819511624391364,-0.09345029613931595
19,2000,2000,2000,12,9.207756666666667,-1.0,-1.0,1.7376653813976406,-0.10860408633735252
20,2100,2100,2100,12,14.068594500000001,-1.0,-1.0,1.3165494250331828,-0.07108030585429126
21,2200,2200,2200,12,15.103649333333331,-1.0,-1.0,1.409990362594047,-0.06620916428409311
22,2300,2300,2300,12,18.3662815,-1.0,-1.0,1.3249279665020925,-0.05444760279863945
